0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
69444.47,2.4067,69444.46,1.85554,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.40662,69444.46,1.84697,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.40662,69444.46,1.85358,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.40662,69444.46,1.85358,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21696,69444.46,1.93951,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21696,69444.46,1.93951,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21696,69444.46,1.85336,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21503,69444.46,1.85325,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21367,69444.46,1.85325,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21319,69444.46,2.21851,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21139,69444.46,2.1229,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,2.21107,69444.46,2.1229,69444.48,0.00032,69444.45,0.00195,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,0.00592,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.13041,69445.14,0.00308,69443.66,0.0016,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,1.97647,69444.46,2.34098,69444.48,0.00032,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.12465,69445.14,8e-05,69443.66,0.0016,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.17,8e-05,69445.24,8e-05,69442.71,8e-05
69444.47,2.11623,69444.46,2.34098,69444.48,0.0004,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.12465,69445.14,8e-05,69443.66,0.0016,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.17,8e-05,69445.24,8e-05,69442.71,8e-05
69444.47,2.11623,69444.46,2.34085,69444.48,0.0004,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.12465,69445.14,8e-05,69443.66,0.0016,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.17,8e-05,69445.24,8e-05,69442.71,8e-05
69444.47,2.14645,69444.46,2.33689,69444.48,0.00048,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.12465,69445.14,8e-05,69443.66,0.0016,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.17,8e-05,69445.24,8e-05,69442.71,8e-05
69444.47,1.97251,69444.46,2.33667,69444.48,0.00048,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.12465,69445.14,8e-05,69443.66,0.0016,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.17,8e-05,69445.24,8e-05,69442.71,8e-05
69444.47,1.97237,69444.46,2.33668,69444.48,0.0004,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.12465,69445.14,8e-05,69443.67,0.00235,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.17,8e-05,69445.24,8e-05,69442.71,8e-05
69444.47,1.97237,69444.46,2.33588,69444.48,0.0004,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.0788,69445.11,8e-05,69443.74,0.12465,69445.14,8e-05,69443.67,0.00235,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.17,8e-05,69445.24,8e-05,69442.71,8e-05
69444.47,1.97229,69444.46,2.33572,69444.48,0.00032,69444.45,0.00187,69444.62,8e-05,69443.77,8e-05,69444.99,8e-05,69443.76,8e-05,69445.05,0.00021,69443.75,0.04191,69445.11,8e-05,69443.67,0.00235,69445.14,8e-05,69443.4,0.003,69445.15,0.12555,69443.17,8e-05,69445.16,0.0014,69442.71,8e-05,69445.24,8e-05,69442.7,0.00016
69444.47,0.57731,69444.46,2.51012,69444.48,0.00056,69444.45,0.00155,69444.62,8e-05,69444.33,0.01431,69444.99,8e-05,69443.75,0.16157,69445.11,8e-05,69443.67,0.00235,69445.14,0.00016,69443.57,0.14433,69445.15,0.12555,69443.4,0.003,69445.16,0.0014,69443.36,0.14425,69445.24,8e-05,69443.17,8e-05,69445.25,0.00377,69442.7,8e-05
